Borough,Code,HP2004,HP2006,HP2008,HP2010,HP2012,HP2014,HP2016,HP2018,HP2020,HL2004,HL2006,HL2008,HL2010,HL2012,HL2014,HL2016,HL2018,HL2020
Barking & Dagenham,E09000002,71.88,76.27,85.14,75.69,75.37,91.41,124.47,134.14,137.33,11.6,0,4.5,3.3,9.2,10.4,7.1,3.8,4.7
Barnet,E09000003,58.92,63.14,71.53,72.2,77.73,93.28,113.99,115.58,114.02,5.6,3.6,2.4,1.8,4.3,4.7,4.2,4.6,4.2
Bexley,E09000004,68.44,73.29,80.3,76.74,77.38,93.39,122.85,130.89,131.19,4.7,2.8,1.9,2.2,3.7,5.2,5.2,4.9,4
Brent,E09000005,55.8,59.88,69.22,68.46,74.27,93.32,115.73,115.98,114.93,7,7.3,4.7,3.4,5,7.3,4.6,13.1,6.1
Bromley,E09000006,62.88,66.97,74.49,72.7,75.64,93.3,114.79,118.92,116.78,3.9,4.8,3.8,3.2,4.3,3.3,6,2.7,3.8
Camden,E09000007,45.71,51.29,65.12,66.68,76.15,98.28,104.86,109.5,108.15,11.6,3.3,1.1,1.4,1.3,0.6,0.6,4.4,4.6
City of London,E09000001,38.41,43.2,54.53,57.89,67.03,90.52,104.42,100.14,105.98,7.8,2.4,3,2.6,3.6,5.7,3.6,6.1,4.6
Croydon,E09000008,68.76,73.44,81.71,75.7,76.8,95.16,123.21,128.24,129.91,7.9,2.4,3.1,3.9,6.2,5.8,6.6,13.3,5.8
Ealing,E09000009,58.45,63.1,71.61,71.01,77.28,97.01,115.53,116.39,116.51,6.1,3.7,4.4,2.1,2.9,7.2,5.6,8.8,5.6
Enfield,E09000010,65.13,69.46,77.78,76.61,78.36,93.18,121.96,125.48,125.33,6.3,6.9,5.5,1.7,4.5,4.8,8.4,6.6,4.1
Greenwich,E09000011,58.87,65.26,72.81,72.16,74.65,93.98,117.41,122.32,124.67,12.1,6.2,3,1.6,2.8,3.4,4.8,5.7,4.7
Hackney,E09000012,46.37,53.95,66.42,64.02,69.34,97.23,114.56,116.02,124.03,12.5,8.9,7,9,6.8,8.3,7,10.8,6.4
Hammersmith & Fulham,E09000013,46.89,54.29,64.85,68.58,77.43,98.46,103.1,99.06,99.36,7.6,5.6,2.1,2.1,3.5,5.5,4.4,7.7,5.1
Haringey,E09000014,51.82,57.88,66.54,68.97,74.5,95.58,115.73,120.99,122.81,11.6,6.2,9.8,5,5.8,6,6,6.4,4.2
Harrow,E09000015,64.57,67.94,75.42,74.78,78.04,92.34,116.17,119.25,115.92,1.1,2,0.9,0.5,1.3,3.2,4.9,3.3,3.8
Havering,E09000016,70.57,76.09,83.35,79.37,79.79,93.36,123.08,133.33,133.43,2.2,2.8,1.3,1.4,2.1,1.9,3.1,3.9,5.7
Hillingdon,E09000017,65.24,69.99,77.31,75.01,78.79,92.49,121.23,124.08,124.04,4.5,3.1,3.5,1.6,0.9,2.9,2.5,2.9,3.1
Hounslow,E09000018,64.4,70.73,78.46,76.82,79.95,96.83,115.31,118.34,122.31,10,5.5,3.8,2.2,6.6,4.4,3.6,2.8,11.2
Islington,E09000019,46.4,51.86,62.76,64.59,71.73,94.95,104.19,105.43,107.43,13.3,8.3,2.9,3.8,4.3,4,3.7,3,3.3
