ONS_Code,Borough,2004T,2004P,2005T,2005P,2006T,2006P,2007T,2007P,2008T,2008P,2009T,2009P,2010T,2010P,2011T,2011P,2012T,2012P,2013T,2013P,2014T,2014P,2015T,2015P,2016T,2016P,2017T,2017P
E09000007,Camden,"1,148",11.6,697,7,322,3.3,217,2.2,119,1.1,98,0.9,149,1.45,136,1.32,125,1.25,77,0.77,64,0.63,67,0.65,66,0.6,94,0.84
E09000001,City of London,31,7.8,19,4.8,12,2.4,12,2.7,14,3,10,2,18,2.57,17,2.43,18,3.6,12,2.61,27,5.72,31,6.41,18,3.6,7,1.38
E09000012,Hackney,"1,153",12.5,..,..,774,8.9,731,8.4,615,7,646,7.3,814,9.04,686,7.62,698,6.78,906,8.51,902,8.33,"1,017",9.22,803,6.95,949,8.04
E09000013,Hammersmith and Fulham,653,7.6,430,5,443,5.6,252,3.3,166,2.1,156,2,163,2.14,203,2.67,283,3.49,385,4.8,444,5.52,406,5.02,365,4.42,249,2.99
E09000014,Haringey,"1,175",11.6,1128,11.2,585,6.2,699,7.4,946,9.8,355,3.7,494,5.04,573,5.85,605,5.82,762,7.14,657,6.03,603,5.42,683,5.95,395,3.38
E09000019,Islington,"1,130",13.3,..,..,686,8.3,401,4.8,254,2.9,201,2.3,333,3.83,413,4.75,410,4.27,399,4.07,398,3.97,376,3.67,393,3.72,223,2.06
E09000020,Kensington and Chelsea,589,6.5,299,3.3,..,..,218,2.6,253,2.9,255,2.9,360,4.24,534,6.28,681,8.73,539,6.96,402,5.19,548,7.08,482,6.09,709,8.93
E09000022,Lambeth,"1,644",12.6,1277,9.8,735,6.2,706,6,899,7.4,625,5.2,795,6.31,959,7.61,667,5.05,708,5.22,504,3.66,526,3.76,516,3.6,467,3.21
E09000023,Lewisham,"1,245",11.1,1097,9.8,744,7,815,7.5,894,8,628,5.6,551,4.79,567,4.93,--,--,710,5.86,769,6.23,772,6.15,768,5.93,614,4.66
E09000025,Newham,402,4.1,1422,14.5,428,4.6,409,4.3,250,2.6,97,1,97,1.05,248,2.7,883,8.49,"1,320",12.27,921,8.35,"1,345",11.89,"1,206",10.15,"1,143",9.36
E09000028,Southwark,"1,668",14.3,1039,8.9,723,6.6,641,5.7,522,4.4,468,4,510,4.11,518,4.18,595,4.8,555,4.43,857,6.72,863,6.64,918,6.88,509,3.74
E09000030,Tower Hamlets,"1,151",12.8,789,8.8,864,10.3,..,..,..,..,690,7.8,537,5.77,404,4.34,406,3.83,557,5.14,551,4.94,522,4.55,450,3.61,437,3.4
E09000032,Wandsworth,840,6.5,680,5.2,589,4.8,508,4.2,583,4.7,426,3.4,509,4.04,591,4.69,657,4.98,723,5.47,787,5.9,855,6.34,798,5.82,822,5.93
E09000033,Westminster,"1,112",10,970,8.7,662,6,..,..,468,4.1,401,3.5,463,3.86,561,4.67,807,7.47,716,6.58,643,5.84,541,4.85,534,4.47,454,3.73
E09000002,Barking and Dagenham,775,11.6,345,5.1,..,..,334,4.9,306,4.5,232,3.4,221,3.25,199,2.93,664,9.22,853,11.78,764,10.35,941,12.5,543,7.05,512,6.51
E09000003,Barnet,758,5.6,..,..,471,3.6,420,3.2,324,2.4,232,1.7,251,1.83,339,2.47,595,4.28,674,4.75,677,4.68,422,2.86,640,4.23,444,2.88
E09000004,Bexley,430,4.7,270,3,251,2.8,207,2.3,177,1.9,128,1.4,204,2.19,346,3.72,349,3.71,420,4.46,498,5.24,483,5.03,508,5.18,500,5.04
E09000005,Brent,795,7,..,..,738,7.3,894,8.8,488,4.7,322,3.1,334,3.41,483,4.93,562,5.02,731,6.42,847,7.33,709,6.05,556,4.57,536,4.32
E09000006,Bromley,504,3.9,718,5.6,621,4.8,551,4.3,489,3.8,414,3.2,426,3.2,634,4.77,566,4.26,503,3.75,451,3.33,608,4.44,831,5.98,630,4.48
E09000008,Croydon,"1,126",7.9,581,4.1,340,2.4,429,3,449,3.1,425,3,575,3.94,847,5.8,912,6.2,762,5.08,880,5.79,"1,006",6.52,"1,042",6.63,749,4.69
E09000009,Ealing,789,6.1,662,5.1,442,3.7,407,3.4,530,4.4,355,3,258,2.08,423,3.41,367,2.91,560,4.39,926,7.15,677,5.15,734,5.56,698,5.22
E09000010,Enfield,727,6.3,852,7.3,768,6.9,595,5.2,633,5.5,241,2.1,199,1.7,256,2.19,551,4.48,627,5.04,606,4.79,"1,131",8.78,"1,096",8.37,786,5.89
E09000011,Greenwich,"1,157",12.1,970,10.1,610,6.2,373,3.9,299,3,197,2,158,1.63,185,1.91,290,2.84,232,2.2,364,3.4,450,4.14,546,4.82,562,4.86
E09000015,Harrow,96,1.1,120,1.4,159,2,221,2.7,74,0.9,50,0.6,45,0.52,109,1.27,115,1.34,180,2.06,280,3.15,516,5.72,449,4.92,307,3.31
E09000016,Havering,200,2.2,..,..,264,2.8,171,1.8,127,1.3,128,1.4,137,1.43,226,2.35,202,2.06,163,1.64,191,1.91,398,3.93,317,3.09,330,3.19
E09000017,Hillingdon,461,4.5,396,3.9,311,3.1,347,3.6,351,3.5,452,4.5,161,1.58,116,1.14,90,0.88,301,2.88,307,2.89,329,3.04,279,2.5,264,2.32
E09000018,Hounslow,891,10,674,7.6,466,5.5,382,4.5,331,3.8,173,2,200,2.17,445,4.84,638,6.58,624,6.27,452,4.44,542,5.22,376,3.55,247,2.29
E09000021,Kingston upon Thames,262,4.1,..,..,230,3.7,207,3.3,218,3.3,140,2.2,137,2.01,176,2.59,187,2.88,204,3.09,222,3.31,213,3.12,239,3.41,190,2.67
E09000024,Merton,261,3.1,215,2.6,107,1.3,95,1.2,67,0.8,96,1.1,89,1.02,101,1.16,98,1.21,103,1.27,132,1.6,141,1.68,115,1.37,122,1.44
E09000026,Redbridge,520,5.3,599,6.1,410,4.3,476,5,362,3.7,255,2.6,371,3.67,406,4.02,427,4.19,444,4.29,447,4.24,508,4.72,464,4.23,497,4.45
E09000027,Richmond upon Thames,279,3.4,254,3.1,152,1.9,138,1.8,130,1.6,138,1.7,160,1.93,255,3.07,357,4.41,279,3.42,232,2.81,231,2.76,192,2.26,207,2.4
E09000029,Sutton,272,3.5,219,2.8,215,2.8,220,2.8,202,2.5,144,1.8,150,1.83,168,2.05,160,2,197,2.43,277,3.36,309,3.69,316,3.74,231,2.69
E09000031,Waltham Forest,800,8.3,769,8,696,7.6,472,5.2,419,4.6,286,3.1,311,3.42,600,6.59,"1,045",10.66,804,8.01,"1,051",10.32,"1,087",10.5,820,7.74,586,5.45
